"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","is_cell_control","total_features_by_counts","log10_total_features_by_counts","total_counts","log10_total_counts","pct_counts_in_top_50_features","pct_counts_in_top_100_features","pct_counts_in_top_200_features","pct_counts_in_top_500_features","total_features","log10_total_features","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","cell_line","cell_line_demuxlet","demuxlet_cls"
"Lib90_00010",16395,2797,97378,9021,4216,0,5070,7755,78838,0.799512925137686,0.815571067813609,"FALSE",FALSE,7755,3.88963780040667,78838,4.8967411070174,23.0713615261676,33.8719906644004,46.3126918491083,62.3760115680256,7755,3.88963780040667,23.0713615261676,33.8719906644004,46.3126918491083,62.3760115680256,"H838","H838","SNG"
"Lib90_00011",19484,4310,88999,14374,3897,0,6522,8075,72065,0.804787344646529,0.809449689939681,"FALSE",FALSE,8075,3.9071963102716,72065,4.85773041735377,25.1786581558315,35.8148893360161,47.3267189342954,62.1591618677583,8075,3.9071963102716,25.1786581558315,35.8148893360161,47.3267189342954,62.1591618677583,"H838","H838","SNG"
"Lib90_00012",16398,1665,94741,8299,4167,0,4109,7109,77025,0.821304771071561,0.753041122617186,"FALSE",FALSE,7109,3.85186960072977,77025,4.88663734530982,28.3193768257059,42.3369036027264,56.9087958455047,71.0691333982473,7109,3.85186960072977,28.3193768257059,42.3369036027264,56.9087958455047,71.0691333982473,"HCC827","HCC827","SNG"
"Lib90_00013",15929,1918,98460,8455,4302,0,4690,7237,80594,0.819750849837488,0.772464355601614,"FALSE",FALSE,7237,3.85961857877218,80594,4.90630809962438,27.7253889867732,41.2090230041939,55.362682085515,70.1578281261632,7237,3.85961857877218,27.7253889867732,41.2090230041939,55.362682085515,70.1578281261632,"HCC827","HCC827","SNG"
"Lib90_00014",18058,2605,91401,10087,3646,0,8505,7637,74911,0.794436064023383,0.75458867795268,"FALSE",FALSE,7637,3.8829796540373,74911,4.87455139201653,33.8681902524329,47.4483053223158,60.1700684812644,72.5834657126457,7637,3.8829796540373,33.8681902524329,47.4483053223158,60.1700684812644,72.5834657126457,"HCC827","HCC827","SNG"
"Lib90_00015",15451,2201,90065,9667,3905,0,4217,7493,73107,0.820044592060946,0.767477701522741,"FALSE",FALSE,7493,3.87471368875778,73107,4.86396490316516,26.0098212209501,39.4161981752773,53.2124146798528,67.3683778571135,7493,3.87471368875778,26.0098212209501,39.4161981752773,53.2124146798528,67.3683778571135,"HCC827","HCC827","SNG"
"Lib90_00016",17173,2112,91268,9447,3868,0,5310,7299,74596,0.816196578795619,0.771368334579825,"FALSE",FALSE,7299,3.86332286012046,74596,4.87272136219594,27.4920907287254,40.8359697570915,54.6973028044399,69.0184460292777,7299,3.86332286012046,27.4920907287254,40.8359697570915,54.6973028044399,69.0184460292777,"HCC827","HCC827","SNG"
"Lib90_00017",16625,2489,91773,9624,4044,0,5143,7733,77496,0.805667389180646,0.792544029040979,"FALSE",FALSE,7733,3.88840416773705,77496,4.88928489078162,24.8348301847837,37.6251677505936,51.4168473211521,66.0705068648705,7733,3.88840416773705,24.8348301847837,37.6251677505936,51.4168473211521,66.0705068648705,"H1975","H1975","DBL"
"Lib90_00018",15199,1795,91571,7707,4009,0,6079,6818,74493,0.794772663096563,0.761494266374791,"FALSE",FALSE,6818,3.83372069044463,74493,4.87212129460296,32.2271891318647,44.9639563448915,58.2484260266065,72.2296054662854,6818,3.83372069044463,32.2271891318647,44.9639563448915,58.2484260266065,72.2296054662854,"HCC827","HCC827","SNG"
"Lib90_00019",15107,1849,92943,7604,4097,0,6083,6962,75312,0.808782132886023,0.761870517066269,"FALSE",FALSE,6962,3.84279639517558,75312,4.87686994752826,29.5902379434884,43.2374654769492,57.1024537922244,71.3047057573826,6962,3.84279639517558,29.5902379434884,43.2374654769492,57.1024537922244,71.3047057573826,"HCC827","HCC827","SNG"
"Lib90_00020",17444,3931,85843,10567,4119,0,5540,7815,70185,0.798204744489819,0.797919669741445,"FALSE",FALSE,7815,3.89298455071072,70185,4.84625049205705,25.0908313742253,36.3012039609603,48.5702073092541,63.4722519056779,7815,3.89298455071072,25.0908313742253,36.3012039609603,48.5702073092541,63.4722519056779,"H838","H838","SNG"
"Lib90_00021",15864,2052,91589,9436,4180,0,5656,7351,74327,0.807526201675363,0.770110354230582,"FALSE",FALSE,7351,3.86640549837805,74327,4.87115244706839,27.7785999704011,41.6497369731053,55.4213139236078,69.8400312134218,7351,3.86640549837805,27.7785999704011,41.6497369731053,55.4213139236078,69.8400312134218,"HCC827","HCC827","SNG"
"Lib90_00022",14836,1770,96104,6804,4157,0,4822,7426,78151,0.809535386519746,0.772389249991779,"FALSE",FALSE,7426,3.8708134239156,78151,4.89294009659512,26.2939693669947,39.4121636319433,53.7625878107766,68.5851748538087,7426,3.8708134239156,26.2939693669947,39.4121636319433,53.7625878107766,68.5851748538087,"HCC827","HCC827","SNG"
"Lib90_00023",16100,2850,87405,10166,3989,0,5577,7692,70641,0.808595574693366,0.780976942430466,"FALSE",FALSE,7692,3.88609573243775,70641,4.84906298638871,27.4840390141702,40.6279639302954,53.7124332894495,67.7991534661174,7692,3.88609573243775,27.4840390141702,40.6279639302954,53.7124332894495,67.7991534661174,"H1975","HCC827","DBL"
"Lib90_00024",16586,2725,90992,7846,4254,0,6071,7976,73305,0.794270513499179,0.807939320927724,"FALSE",FALSE,7976,3.90183959205123,73305,4.86513952252993,22.9329513675738,34.0972648523293,46.4252097401269,61.7229384080213,7976,3.90183959205123,22.9329513675738,34.0972648523293,46.4252097401269,61.7229384080213,"H1975","H838","DBL"
"Lib90_00025",14679,1908,90639,8473,3963,0,4661,7094,73671,0.814920389187751,0.747933277961032,"FALSE",FALSE,7094,3.85095239979349,73671,4.86730245996176,29.4213462556501,43.8476469709927,57.878948297159,71.919751326845,7094,3.85095239979349,29.4213462556501,43.8476469709927,57.878948297159,71.919751326845,"HCC827","HCC827","SNG"
"Lib90_00026",16150,1780,85611,6456,4337,0,5134,7535,69574,0.795469571852205,0.813162846298496,"FALSE",FALSE,7535,3.87714088978482,69574,4.84245321500608,24.220254692845,35.2487998390203,48.1228619886739,63.5855348262282,7535,3.87714088978482,24.220254692845,35.2487998390203,48.1228619886739,63.5855348262282,"H1975","H1975","SNG"
"Lib90_00027",14863,2184,85231,8134,3812,0,5456,7376,69116,0.796834307425656,0.781107011240956,"FALSE",FALSE,7376,3.86787978345838,69116,4.83958487947487,25.8695526361479,37.9174142022108,50.4022223508305,65.6693095665258,7376,3.86787978345838,25.8695526361479,37.9174142022108,50.4022223508305,65.6693095665258,"H1975","H1975","SNG"
"Lib90_00028",15560,2863,81369,8574,3633,0,4456,6813,67266,0.818273719142171,0.74675159118253,"FALSE",FALSE,6813,3.83340212923186,67266,4.82780205927938,30.1846400856302,44.8532691106949,58.8514256831089,72.4511640353224,6813,3.83340212923186,30.1846400856302,44.8532691106949,58.8514256831089,72.4511640353224,"HCC827","HCC827","SNG"
"Lib90_00029",15199,2432,80347,10203,3469,0,4747,7288,66025,0.813464596620452,0.772828357011987,"FALSE",FALSE,7288,3.86266795022859,66025,4.81971498755701,28.3771298750473,41.1919727375994,54.3475956077243,67.8879212419538,7288,3.86266795022859,28.3771298750473,41.1919727375994,54.3475956077243,67.8879212419538,"HCC827","HCC827","SNG"
"Lib90_00030",14698,1825,81513,8864,3782,0,4347,7369,65863,0.805960858022568,0.804169138337285,"FALSE",FALSE,7369,3.86746748785905,65863,4.81864810240346,25.9887949227943,37.4686849976466,49.8595569591425,64.9848928837132,7369,3.86746748785905,25.9887949227943,37.4686849976466,49.8595569591425,64.9848928837132,"H1975","H1975","DBL"
"Lib90_00031",14569,1753,78905,6815,3581,0,4078,6596,64163,0.810030702926916,0.763913663027966,"FALSE",FALSE,6596,3.81934648408045,64163,4.80729143014797,26.3033212287455,40.0698221716566,54.5283107086639,69.5883920639621,6596,3.81934648408045,26.3033212287455,40.0698221716566,54.5283107086639,69.5883920639621,"HCC827","HCC827","SNG"
"Lib90_00032",14275,2020,83210,9748,3513,0,4741,7344,67650,0.819216555680825,0.771145488374651,"FALSE",FALSE,7344,3.86599180012628,67650,4.83027422061246,27.5373244641537,41.2032520325203,55.0347376201035,68.8824833702883,7344,3.86599180012628,27.5373244641537,41.2032520325203,55.0347376201035,68.8824833702883,"HCC827","HCC827","SNG"
"Lib90_00033",14159,1407,86959,5903,3958,0,4291,6895,72107,0.819282455126509,0.740039005916346,"FALSE",FALSE,6895,3.83859725281666,72107,4.85798345006086,29.8500839030885,43.6628898719958,57.7807979807786,72.2481867225096,6895,3.83859725281666,29.8500839030885,43.6628898719958,57.7807979807786,72.2481867225096,"HCC827","HCC827","SNG"
"Lib90_00034",14403,1770,82167,7201,3550,0,4153,7097,67843,0.821735477378398,0.780139324596594,"FALSE",FALSE,7097,3.85113599501157,67843,4.83151144547972,26.8207479032472,40.0512949014637,53.9584039620889,68.1691552555164,7097,3.85113599501157,26.8207479032472,40.0512949014637,53.9584039620889,68.1691552555164,"HCC827","HCC827","SNG"
"Lib90_00035",15373,2991,77432,10834,3251,0,3679,7493,62252,0.818543982391161,0.767027442166124,"FALSE",FALSE,7493,3.87471368875778,62252,4.79416028511801,24.7686821306946,37.0719013043758,50.1365417978539,64.6629827154148,7493,3.87471368875778,24.7686821306946,37.0719013043758,50.1365417978539,64.6629827154148,"H1975","H838","DBL"
"Lib90_00036",14097,1878,79969,8625,3489,0,5852,7048,65940,0.810782529449381,0.737594671277727,"FALSE",FALSE,7048,3.84812751056787,65940,4.81915552896408,31.8986957840461,46.9745222929936,60.4079466181377,72.9496511980588,7048,3.84812751056787,31.8986957840461,46.9745222929936,60.4079466181377,72.9496511980588,"HCC827","HCC827","SNG"
"Lib90_00037",13797,1551,79182,6341,3366,0,2547,6459,63350,0.835548539726038,0.84549315777535,"FALSE",FALSE,6459,3.81023251799508,63350,4.80175347464257,26.6140489344909,36.8334648776638,49.0023677979479,65.750591949487,6459,3.81023251799508,26.6140489344909,36.8334648776638,49.0023677979479,65.750591949487,"H838","H838","SNG"
"Lib90_00038",14784,1587,80976,7834,3643,0,4443,6938,65554,0.804390273544804,0.784696466318384,"FALSE",FALSE,6938,3.84129688749028,65554,4.81660582172551,25.7924764316441,38.568203313299,51.7207187967172,66.1164841199622,6938,3.84129688749028,25.7924764316441,38.568203313299,51.7207187967172,66.1164841199622,"HCC827","HCC827","SNG"
"Lib90_00039",15086,2260,77524,9799,3306,0,5735,7053,63331,0.810456174573202,0.744422045377138,"FALSE",FALSE,7053,3.84843545533147,63331,4.8016232030952,32.4280368224092,46.9833099114178,59.7606227597859,72.0026527293111,7053,3.84843545533147,32.4280368224092,46.9833099114178,59.7606227597859,72.0026527293111,"HCC827","HCC827","SNG"
"Lib90_00040",14264,1749,79630,8376,3639,0,4231,6878,65347,0.817329027986391,0.758045394884938,"FALSE",FALSE,6878,3.8375253094496,65347,4.81523230037478,29.5530016680184,43.2460556720278,57.4425757877179,71.3605827352442,6878,3.8375253094496,29.5530016680184,43.2460556720278,57.4425757877179,71.3605827352442,"HCC827","HCC827","SNG"
"Lib90_00041",15197,2392,71961,8820,3151,0,4902,7128,58358,0.80088419740209,0.77740827694433,"FALSE",FALSE,7128,3.85302861471299,58358,4.76610784151129,26.1866410774872,38.5585523835635,51.8043798622297,66.4176291168306,7128,3.85302861471299,26.1866410774872,38.5585523835635,51.8043798622297,66.4176291168306,"H1975","HCC827","DBL"
"Lib90_00042",15262,2190,77924,9597,3070,0,4657,6846,63381,0.815906975147772,0.759770158285581,"FALSE",FALSE,6846,3.83550032786732,63381,4.80196593910262,28.9487385809628,43.2590208422082,57.0644199365741,70.5858222495701,6846,3.83550032786732,28.9487385809628,43.2590208422082,57.0644199365741,70.5858222495701,"HCC827","HCC827","SNG"
"Lib90_00043",13314,1975,81709,8231,3605,0,4208,7002,66963,0.820482953150175,0.754461306324193,"FALSE",FALSE,7002,3.84528412634799,66963,4.82584138772778,27.5375953884981,41.6498663441005,55.28426145782,69.2800501769634,7002,3.84528412634799,27.5375953884981,41.6498663441005,55.28426145782,69.2800501769634,"HCC827","HCC827","SNG"
"Lib90_00044",12342,1716,82347,7470,3654,0,3385,7164,68016,0.815969771698428,0.777052343999597,"FALSE",FALSE,7164,3.85521619473336,68016,4.83261747275727,25.022053634439,37.8660903316867,52.2965184662432,67.1827217125382,7164,3.85521619473336,25.022053634439,37.8660903316867,52.2965184662432,67.1827217125382,"HCC827","HCC827","SNG"
"Lib90_00045",12743,2028,79361,8184,3454,0,4492,7061,65454,0.81356372401785,0.770754916314524,"FALSE",FALSE,7061,3.84892771322708,65454,4.81594282719647,27.6270357808537,41.206037828093,55.3579613163443,69.1111314816512,7061,3.84892771322708,27.6270357808537,41.206037828093,55.3579613163443,69.1111314816512,"HCC827","HCC827","SNG"
"Lib90_00046",16385,2809,73650,10686,3594,0,6674,7097,59219,0.788767118528045,0.787618705547425,"FALSE",FALSE,7097,3.85113599501157,59219,4.77246840305328,29.701616035394,41.5728060250933,54.1025684324288,68.0068896806768,7097,3.85113599501157,29.701616035394,41.5728060250933,54.1025684324288,68.0068896806768,"H838","H838","SNG"
"Lib90_00047",12725,1592,79538,6076,3538,0,3512,6814,64737,0.808424857375469,0.790274373190853,"FALSE",FALSE,6814,3.83346586017069,64737,4.81115927828588,24.9563618950523,37.127145218345,50.8117459876114,66.0055300678128,6814,3.83346586017069,24.9563618950523,37.127145218345,50.8117459876114,66.0055300678128,"HCC827","HCC827","SNG"
"Lib90_00048",15514,2095,76280,10027,2921,0,5999,7310,62883,0.798085332951977,0.758312936992043,"FALSE",FALSE,7310,3.86397678390439,62883,4.79854015902811,31.5268037466406,44.8881255665283,57.7214827536854,70.4435220965921,7310,3.86397678390439,31.5268037466406,44.8881255665283,57.7214827536854,70.4435220965921,"HCC827","HCC827","SNG"
"Lib90_00049",14376,1845,79421,7669,3222,0,6479,6845,64999,0.80433545119089,0.758750017884888,"FALSE",FALSE,6845,3.83543689480186,64999,4.81291335664286,29.4835305158541,43.4345143771443,57.1378021200326,70.4887767504115,6845,3.83543689480186,29.4835305158541,43.4345143771443,57.1378021200326,70.4887767504115,"HCC827","HCC827","SNG"
"Lib90_00050",12583,1789,79079,7012,3354,0,4434,6791,63713,0.809081349048219,0.775759927211099,"FALSE",FALSE,6791,3.8319976772359,63713,4.80423487118463,27.4072795190934,40.279063927299,53.9309089196867,68.612371101659,6791,3.8319976772359,27.4072795190934,40.279063927299,53.9309089196867,68.612371101659,"HCC827","HCC827","SNG"
"Lib90_00051",14484,1385,78210,6485,3419,0,6126,6563,63923,0.788980492031197,0.77072403192528,"FALSE",FALSE,6563,3.81716857238106,63923,4.80566394283245,29.0208532140231,42.2383179763153,55.9407412042614,70.448821238052,6563,3.81716857238106,29.0208532140231,42.2383179763153,55.9407412042614,70.448821238052,"HCC827","HCC827","SNG"
"Lib90_00052",14207,2186,74699,10368,3320,0,5382,7178,60927,0.791356869566636,0.759269164858082,"FALSE",FALSE,7178,3.8560639533331,60927,4.78481692236836,32.2779719992778,45.4642440953928,57.1651320432649,70.1396753491884,7178,3.8560639533331,32.2779719992778,45.4642440953928,57.1651320432649,70.1396753491884,"H1975","H1975","DBL"
"Lib90_00053",14250,3055,76018,6247,4000,0,3908,7317,61659,0.79952642748025,0.807602976434425,"FALSE",FALSE,7317,3.86439240515059,61659,4.79000352039049,22.6065943333496,33.732301853744,45.4726803872914,61.2919444038989,7317,3.86439240515059,22.6065943333496,33.732301853744,45.4726803872914,61.2919444038989,"H1975","H1975","SNG"
"Lib90_00054",14098,2221,71233,9543,3107,0,7276,6787,58744,0.780249897729087,0.783569252422502,"FALSE",FALSE,6787,3.83174183364564,58744,4.76897090813836,30.3384175405148,42.8162876208634,55.5631213400517,69.285373825412,6787,3.83174183364564,30.3384175405148,42.8162876208634,55.5631213400517,69.285373825412,"HCC827","HCC827","SNG"
"Lib90_00055",14280,1520,76439,6723,3793,0,3017,7082,62971,0.808991440375889,0.804528941174677,"FALSE",FALSE,7082,3.85021724179839,62971,4.79914748677785,23.4203045846501,34.7731495450287,47.7314954502866,64.3312000762256,7082,3.85021724179839,23.4203045846501,34.7731495450287,47.7314954502866,64.3312000762256,"H1975","H1975","SNG"
"Lib90_00056",12822,2304,74345,8368,3006,0,3736,7093,60538,0.804602067989593,0.806402456902696,"FALSE",FALSE,7093,3.85089118413592,60538,4.78203524288305,21.8821236248307,32.9363375070204,45.6903102183752,61.5811556377812,7093,3.85089118413592,21.8821236248307,32.9363375070204,45.6903102183752,61.5811556377812,"H838","H838","SNG"
"Lib90_00057",15172,3756,73034,8825,3138,0,3042,6664,59069,0.820379555973458,0.796881478121946,"FALSE",FALSE,6664,3.82380015374988,59069,4.77136697085778,23.1982935211363,34.6205285344258,47.8575902757792,64.3603243664189,6664,3.82380015374988,23.1982935211363,34.6205285344258,47.8575902757792,64.3603243664189,"H838","H838","SNG"
"Lib90_00058",13991,1491,76919,6612,3450,0,3870,6688,62872,0.813478177755841,0.767622985172575,"FALSE",FALSE,6688,3.82536119595263,62872,4.79846418330806,27.8884081944268,41.0627942486321,54.9688255503245,69.8546252703906,6688,3.82536119595263,27.8884081944268,41.0627942486321,54.9688255503245,69.8546252703906,"HCC827","HCC827","SNG"
"Lib90_00059",12687,1835,75756,7028,3138,0,3118,7037,61486,0.819991542656866,0.801596981166935,"FALSE",FALSE,7037,3.84744926249917,61486,4.78878330398578,25.1553199102235,36.9612594737013,50.8684903880558,65.6995088312787,7037,3.84744926249917,25.1553199102235,36.9612594737013,50.8684903880558,65.6995088312787,"HCC827","HCC827","SNG"
"Lib90_00060",13513,1825,76024,8643,3153,0,5027,6962,63062,0.810884526210573,0.766087221133611,"FALSE",FALSE,6962,3.84279639517558,63062,4.7997746269329,29.2521645364879,42.7658494814627,56.2430623830516,69.9771653293584,6962,3.84279639517558,29.2521645364879,42.7658494814627,56.2430623830516,69.9771653293584,"HCC827","HCC827","SNG"
"Lib90_00061",13497,1656,75619,7389,3224,0,3850,6818,61957,0.810320060556463,0.775360205406943,"FALSE",FALSE,6818,3.83372069044463,61957,4.79209739031727,27.0994399341479,40.3973723711606,54.4587375114999,68.8558193585874,6818,3.83372069044463,27.0994399341479,40.3973723711606,54.4587375114999,68.8558193585874,"HCC827","HCC827","SNG"
"Lib90_00062",12661,1908,71624,7825,3158,0,4889,6675,58749,0.800371070009639,0.765561836701589,"FALSE",FALSE,6675,3.82451632800721,58749,4.76900787094377,31.1937224463395,44.9114027472808,57.8597082503532,71.7101567686258,6675,3.82451632800721,31.1937224463395,44.9114027472808,57.8597082503532,71.7101567686258,"H1975","H838","DBL"
"Lib90_00063",13308,1728,74649,6618,3300,0,3389,6270,61252,0.815908051848771,0.749069295848414,"FALSE",FALSE,6270,3.79733680077535,61252,4.78712736408211,28.5394762619996,42.9879840658264,57.6438320381375,71.759289492588,6270,3.79733680077535,28.5394762619996,42.9879840658264,57.6438320381375,71.759289492588,"HCC827","HCC827","SNG"
"Lib90_00064",13737,1542,76070,6066,3405,0,3411,6592,62206,0.819792302861494,0.769539792055462,"FALSE",FALSE,6592,3.8190830757437,62206,4.79383925752557,26.1277047230171,39.8337780921455,54.359708066746,68.8759926695174,6592,3.8190830757437,26.1277047230171,39.8337780921455,54.359708066746,68.8759926695174,"HCC827","HCC827","SNG"
"Lib90_00065",12326,1725,76096,6744,3081,0,3076,6867,61576,0.826360919704696,0.796073016098315,"FALSE",FALSE,6867,3.83683028648888,61576,4.78941852647716,24.7661426529817,36.5775626867611,50.4498505911394,65.8519553072626,6867,3.83683028648888,24.7661426529817,36.5775626867611,50.4498505911394,65.8519553072626,"HCC827","HCC827","SNG"
"Lib90_00066",12634,1544,76235,7426,3370,0,3803,6813,62235,0.807182453473579,0.779304124800494,"FALSE",FALSE,6813,3.83340212923186,62235,4.79404167212829,26.2874588254198,39.3412067164779,53.6916526070539,68.4839720414558,6813,3.83340212923186,26.2874588254198,39.3412067164779,53.6916526070539,68.4839720414558,"HCC827","HCC827","SNG"
"Lib90_00067",13584,2209,74469,7707,3163,0,2739,6779,60478,0.816991302487352,0.799397996065016,"FALSE",FALSE,6779,3.83122969386706,60478,4.78160460163878,23.3241840007937,34.5547141109164,47.494956843811,63.3453487218493,6779,3.83122969386706,23.3241840007937,34.5547141109164,47.494956843811,63.3453487218493,"H838","H838","SNG"
"Lib90_00068",14280,2451,70311,10024,2770,0,5268,6686,57839,0.815729870707355,0.747644193771643,"FALSE",FALSE,6686,3.8252313231999,57839,4.76222828428647,31.9300126212417,46.8714880962672,59.4546932000899,71.3757153477757,6686,3.8252313231999,31.9300126212417,46.8714880962672,59.4546932000899,71.3757153477757,"HCC827","HCC827","SNG"
"Lib90_00069",11857,1493,73545,6258,3112,0,2886,6342,60853,0.818759962398113,0.777102069396403,"FALSE",FALSE,6342,3.80229471139746,60853,4.78428913015578,26.2304241368544,39.1599428130084,53.875733324569,68.9546940988941,6342,3.80229471139746,26.2304241368544,39.1599428130084,53.875733324569,68.9546940988941,"HCC827","HCC827","SNG"
"Lib90_00070",12774,2036,70423,7067,2840,0,3027,6401,58384,0.823924362698012,0.776685260227929,"FALSE",FALSE,6401,3.80631566980811,58384,4.76630128454419,24.9057961085229,37.3030282269115,50.3956563442039,66.574746505892,6401,3.80631566980811,24.9057961085229,37.3030282269115,50.3956563442039,66.574746505892,"H838","H838","SNG"
"Lib90_00071",13593,2064,72217,8909,3096,0,5676,6892,59382,0.797800680206493,0.767202053281794,"FALSE",FALSE,6892,3.83840827849419,59382,4.77366213415822,29.7160755784581,43.1511232359974,56.7983564042976,70.4018052608535,6892,3.83840827849419,29.7160755784581,43.1511232359974,56.7983564042976,70.4018052608535,"HCC827","HCC827","SNG"
"Lib90_00072",12645,1675,72159,6896,3019,0,6427,6647,59574,0.796454829154253,0.77060449682672,"FALSE",FALSE,6647,3.82269101077605,59574,4.77506405101849,30.4327391143788,43.9873099002921,57.9413838251586,71.4137039648169,6647,3.82269101077605,30.4327391143788,43.9873099002921,57.9413838251586,71.4137039648169,"HCC827","HCC827","SNG"
"Lib90_00073",14051,1987,69866,10184,3028,0,5158,7377,57049,0.799032410594571,0.778506059964932,"FALSE",FALSE,7377,3.86793865089078,57049,4.75625564875423,30.421216848674,42.0761100106926,53.9255727532472,67.187856053568,7377,3.86793865089078,30.421216848674,42.0761100106926,53.9255727532472,67.187856053568,"H1975","H1975","DBL"
"Lib90_00074",13568,1794,75765,7255,3942,0,3429,7313,61954,0.79946411841052,0.793976047716685,"FALSE",FALSE,7313,3.86415495600203,61954,4.79207636131393,23.1026245278755,34.4545953449333,46.9993866417019,62.6593924524647,7313,3.86415495600203,23.1026245278755,34.4545953449333,46.9993866417019,62.6593924524647,"H1975","H1975","SNG"
"Lib90_00075",12600,1524,71973,7656,3146,0,4408,6375,58868,0.817625874699731,0.733148615011787,"FALSE",FALSE,6375,3.80454830838806,58868,4.76988665857129,31.0542230074064,45.9060949921859,60.278929129578,73.3794251545831,6375,3.80454830838806,31.0542230074064,45.9060949921859,60.278929129578,73.3794251545831,"HCC827","HCC827","SNG"
"Lib90_00076",12297,1632,73700,6534,3216,0,2886,6808,59626,0.819021903059232,0.805822827990671,"FALSE",FALSE,6808,3.83308333417834,59626,4.77544295933365,25.2574380303894,37.3410928118606,50.4461141112937,65.5183980142891,6808,3.83308333417834,25.2574380303894,37.3410928118606,50.4461141112937,65.5183980142891,"HCC827","HCC827","SNG"
